year,name,percent,sex
1990,Michael,0.030358,boy
1990,Christopher,0.024387,boy
1990,Matthew,0.020832,boy
1990,Joshua,0.020095,boy
1990,Daniel,0.015717,boy
1990,David,0.015684,boy
1990,Andrew,0.015644,boy
1990,James,0.015042,boy
1990,Justin,0.014248,boy
1990,Joseph,0.014001,boy
1990,Ryan,0.013598,boy
1990,John,0.013518,boy
1990,Robert,0.013421,boy
1990,Nicholas,0.01298,boy
1990,Anthony,0.011662,boy
1990,William,0.011569,boy
1990,Jonathan,0.01119,boy
1990,Kyle,0.010557,boy
1990,Brandon,0.010305,boy
1990,Jacob,0.010228,boy
1990,Tyler,0.009596,boy
1990,Zachary,0.0095,boy
1990,Kevin,0.009486,boy
1990,Eric,0.009028,boy
1990,Steven,0.008723,boy
1990,Thomas,0.00847,boy
1990,Brian,0.00787,boy
1990,Alexander,0.007528,boy
1990,Jordan,0.0075,boy
1990,Timothy,0.007298,boy
1990,Cody,0.007157,boy
1990,Adam,0.006841,boy
1990,Benjamin,0.006796,boy
1990,Aaron,0.006765,boy
1990,Richard,0.006313,boy
1990,Patrick,0.005754,boy
1990,Sean,0.005588,boy
1990,Charles,0.005577,boy
1990,Stephen,0.005554,boy
1990,Jeremy,0.005434,boy
1990,Jose,0.005346,boy
1990,Travis,0.005325,boy
1990,Jeffrey,0.005106,boy
1990,Nathan,0.005084,boy
1990,Samuel,0.005056,boy
1990,Mark,0.004967,boy
1990,Jason,0.004965,boy
1990,Jesse,0.00417,boy
1990,Paul,0.003989,boy
1990,Dustin,0.003932,boy
1990,Gregory,0.003896,boy
1990,Kenneth,0.003841,boy
1990,Scott,0.00376,boy
1990,Derek,0.003754,boy
1990,Austin,0.003678,boy
1990,Corey,0.003576,boy
1990,Bryan,0.00346,boy
1990,Ethan,0.00325,boy
1990,Alex,0.003229,boy
1990,Christian,0.00315,boy
1990,Juan,0.003132,boy
1990,Cameron,0.003099,boy
1990,Jared,0.003089,boy
1990,Taylor,0.003057,boy
1990,Bradley,0.002992,boy
1990,Luis,0.002692,boy
1990,Cory,0.00268,boy
1990,Edward,0.002667,boy
1990,Shawn,0.002659,boy
1990,Ian,0.002539,boy
1990,Evan,0.002468,boy
1990,Marcus,0.002465,boy
1990,Shane,0.002451,boy
1990,Peter,0.002426,boy
1990,Carlos,0.00242,boy
1990,Trevor,0.002391,boy
1990,Antonio,0.002263,boy
1990,Vincent,0.002231,boy
1990,George,0.002122,boy
1990,Keith,0.002085,boy
1990,Phillip,0.002071,boy
1990,Victor,0.002065,boy
1990,Dylan,0.002051,boy
1990,Brett,0.002043,boy
1990,Chad,0.002023,boy
1990,Nathaniel,0.002019,boy
1990,Donald,0.001943,boy
1990,Caleb,0.001932,boy
1990,Casey,0.001922,boy
1990,Jesus,0.001918,boy
1990,Blake,0.001907,boy
1990,Raymond,0.001886,boy
1990,Mitchell,0.001869,boy
1990,Adrian,0.001862,boy
1990,Joel,0.001859,boy
1990,Erik,0.001836,boy
1990,Ronald,0.001814,boy
1990,Devin,0.001796,boy
1990,Garrett,0.001745,boy
1990,Miguel,0.001718,boy
1990,Gabriel,0.001717,boy
1990,Seth,0.001657,boy
1990,Douglas,0.001647,boy
1990,Logan,0.001596,boy
1990,Spencer,0.00159,boy
1990,Derrick,0.001563,boy
1990,Wesley,0.001541,boy
1990,Johnathan,0.001509,boy
1990,Frank,0.001481,boy
1990,Chase,0.001468,boy
1990,Philip,0.001461,boy
1990,Lucas,0.001434,boy
1990,Martin,0.001432,boy
1990,Gary,0.001428,boy
1990,Francisco,0.001361,boy
1990,Jorge,0.001354,boy
1990,Craig,0.001351,boy
1990,Luke,0.001339,boy
1990,Mario,0.001311,boy
1990,Curtis,0.001302,boy
1990,Ricardo,0.001302,boy
1990,Colin,0.001293,boy
1990,Julian,0.001254,boy
1990,Jonathon,0.00124,boy
1990,Alan,0.001228,boy
1990,Alejandro,0.001225,boy
1990,Brent,0.001213,boy
1990,Troy,0.001164,boy
1990,Dennis,0.001158,boy
1990,Johnny,0.001153,boy
1990,Randy,0.001149,boy
1990,Isaac,0.001127,boy
1990,Angel,0.001117,boy
1990,Manuel,0.00111,boy
1990,Oscar,0.001081,boy
1990,Jeffery,0.001078,boy
1990,Andre,0.001069,boy
1990,Henry,0.001042,boy
1990,Colton,0.001038,boy
1990,Jake,0.001032,boy
1990,Allen,0.00103,boy
1990,Russell,0.001029,boy
1990,Edgar,0.001024,boy
1990,Larry,0.00102,boy
1990,Carl,0.001018,boy
1990,Tony,0.001015,boy
1990,Jerry,0.001014,boy
1990,Mathew,0.001011,boy
1990,Eduardo,0.001003,boy
1990,Roberto,0.000973,boy
1990,Devon,0.000957,boy
1990,Darius,0.000945,boy
1990,Clayton,0.000944,boy
1990,Jeremiah,0.000932,boy
1990,Brendan,0.000928,boy
1990,Hector,0.000922,boy
1990,Javier,0.000919,boy
1990,Todd,0.000918,boy
1990,Omar,0.000917,boy
1990,Drew,0.000908,boy
1990,Sergio,0.000899,boy
1990,Danny,0.000891,boy
1990,Marc,0.000883,boy
1990,Terry,0.000879,boy
1990,Kristopher,0.000865,boy
1990,Jack,0.000852,boy
1990,Albert,0.000849,boy
1990,Bryce,0.000845,boy
1990,Louis,0.000845,boy
1990,Edwin,0.000843,boy
1990,Max,0.000832,boy
1990,Jimmy,0.000832,boy
1990,Calvin,0.000829,boy
1990,Lawrence,0.000828,boy
1990,Micheal,0.000824,boy
1990,Ricky,0.000819,boy
1990,Ivan,0.000808,boy
1990,Ruben,0.000808,boy
1990,Fernando,0.000805,boy
1990,Rodney,0.000795,boy
1990,Levi,0.000793,boy
1990,Lance,0.000789,boy
1990,Grant,0.000787,boy
1990,Dillon,0.000782,boy
1990,Bobby,0.000781,boy
1990,Xavier,0.000766,boy
1990,Nicolas,0.000762,boy
1990,Maxwell,0.000756,boy
1990,Dominic,0.000755,boy
1990,Ross,0.000753,boy
1990,Walter,0.00075,boy
1990,Randall,0.000745,boy
1990,Dalton,0.000731,boy
1990,Julio,0.000721,boy
1990,Dakota,0.000721,boy
1990,Arthur,0.000716,boy
1990,Pedro,0.000715,boy
1990,Preston,0.000711,boy
1990,Cesar,0.0007,boy
1990,Darren,0.0007,boy
1990,Rafael,0.000698,boy
1990,Clinton,0.000697,boy
1990,Andres,0.000695,boy
1990,Bryant,0.000695,boy
1990,Maurice,0.000693,boy
1990,Dominique,0.000691,boy
1990,Isaiah,0.000691,boy
1990,Mason,0.000687,boy
1990,Raul,0.000678,boy
1990,Roger,0.000678,boy
1990,Joe,0.000677,boy
1990,Gerald,0.000675,boy
1990,Lee,0.000673,boy
1990,Billy,0.000669,boy
1990,Jaime,0.000666,boy
1990,Jon,0.000661,boy
1990,Jay,0.000651,boy
1990,Emmanuel,0.000649,boy
1990,Hunter,0.000646,boy
1990,Tanner,0.000645,boy
1990,Willie,0.00064,boy
1990,Connor,0.00064,boy
1990,Erick,0.000636,boy
1990,Shaun,0.000629,boy
1990,Alberto,0.000628,boy
1990,Marco,0.000621,boy
1990,Jamie,0.000612,boy
1990,Noah,0.000605,boy
1990,Armando,0.000598,boy
1990,Reginald,0.000596,boy
1990,Jessie,0.000584,boy
1990,Eddie,0.000581,boy
1990,Theodore,0.000572,boy
1990,Zachery,0.000571,boy
1990,Terrance,0.00057,boy
1990,Roy,0.000569,boy
1990,Marvin,0.000564,boy
1990,Micah,0.000548,boy
1990,Bruce,0.000543,boy
1990,Collin,0.000543,boy
1990,Malcolm,0.00054,boy
1990,Wayne,0.000534,boy
1990,Elijah,0.000529,boy
1990,Colby,0.000525,boy
1990,Darrell,0.000525,boy
1990,Abraham,0.000523,boy
1990,Jamal,0.000516,boy
1990,Geoffrey,0.00051,boy
1990,Cole,0.00051,boy
1990,Ramon,0.000507,boy
1990,Johnathon,0.000506,boy
1990,Frederick,0.000501,boy
1990,Trent,0.000498,boy
1990,Gerardo,0.000494,boy
1990,Darryl,0.000491,boy
1990,Terrence,0.00049,boy
1990,Brock,0.000484,boy
1990,Marquis,0.000482,boy
1990,Arturo,0.000481,boy
1990,Tyrone,0.000479,boy
1990,Neil,0.000478,boy
1990,Ronnie,0.000476,boy
1990,Enrique,0.000474,boy
1990,Jerome,0.000474,boy
1990,Byron,0.000471,boy
1990,Trenton,0.00047,boy
1990,Steve,0.000467,boy
1990,Nickolas,0.000464,boy
1990,Miles,0.000462,boy
1990,Tommy,0.000456,boy
1990,Alec,0.000455,boy
1990,Alfredo,0.000452,boy
1990,Marcos,0.000447,boy
1990,Kurt,0.000444,boy
1990,Andy,0.000442,boy
